"NO";"KODE BARANG";"NAMA BARANG";"SATUAN";"SALDO AWAL";"HARGA";"TOTAL"
"bf45bdd3-6b74-11eb-9e21-309c234ddeac";"1.1.89";"Seng Gelombang";"buah";"";"";""
"bf45be1c-6b74-11eb-9e21-309c234ddeac";"1.1.90";"Overfill";"buah";"";"";""
"bf45be66-6b74-11eb-9e21-309c234ddeac";"1.1.91";"Lis Alumunium";"buah";"";"";""
"bf45beaf-6b74-11eb-9e21-309c234ddeac";"1.1.92";"Grendel";"buah";"";"";""
"bf45bef9-6b74-11eb-9e21-309c234ddeac";"1.1.93";"Gembok";"buah";"";"";""
"bf45bf42-6b74-11eb-9e21-309c234ddeac";"1.1.94";"Palu";"buah";"";"";""
"bf45bf8b-6b74-11eb-9e21-309c234ddeac";"1.1.95";"Knee 3/4";"buah";"";"";""
"bf45bfd5-6b74-11eb-9e21-309c234ddeac";"1.1.96";"Handle Pintu";"buah";"";"";""
"bf45c01e-6b74-11eb-9e21-309c234ddeac";"1.1.97";"kayu usuk";"buah";"";"";""
"bf45c068-6b74-11eb-9e21-309c234ddeac";"1.1.98";"Skrap";"buah";"";"";""
"bf45c0b2-6b74-11eb-9e21-309c234ddeac";"1.1.99";"Keramik dinding";"dus";"";"";""
"bf45c0fb-6b74-11eb-9e21-309c234ddeac";"1.1.100";"Keramik lantai";"dus";"";"";""
"bf45c144-6b74-11eb-9e21-309c234ddeac";"1.1.101";"Jasa Servis";"set";"";"";""
"bf45c18d-6b74-11eb-9e21-309c234ddeac";"1.1.102";"tee drat";"buah";"";"";""
"bf45c1d7-6b74-11eb-9e21-309c234ddeac";"1.1.103";"knee";"buah";"";"";""
"bf45c222-6b74-11eb-9e21-309c234ddeac";"1.1.104";"list keramik";"buah";"";"";""
"bf45c26f-6b74-11eb-9e21-309c234ddeac";"1.1.105";"kikir";"buah";"";"";""
"bf45c2b9-6b74-11eb-9e21-309c234ddeac";"1.1.106";"Kran Onda 3/4 BC ";"buah";"";"";""
"bf45c303-6b74-11eb-9e21-309c234ddeac";"1.1.107";"Roll Kuas";"buah";"";"";""
"bf45c34d-6b74-11eb-9e21-309c234ddeac";"1.1.108";"Kuas 4 inch ET ";"buah";"";"";""
"bf45c396-6b74-11eb-9e21-309c234ddeac";"1.1.109";"Bahan Dan Alat GRC ( 120 cm x 240 cm ) t : 5 mm ";"lbr";"";"";""
"bf45c3df-6b74-11eb-9e21-309c234ddeac";"1.1.110";"Semen Putih ";"buah";"";"";""
"bf45c428-6b74-11eb-9e21-309c234ddeac";"1.1.111";"Semen Holcim ";"buah";"";"";""
"bf45c472-6b74-11eb-9e21-309c234ddeac";"1.1.112";"Tiner";"buah";"";"";""
"bf45c4bc-6b74-11eb-9e21-309c234ddeac";"1.1.113";"Bambu";"batang";"";"";""
"bf45c538-6b74-11eb-9e21-309c234ddeac";"1.1.114";"Paku 7 cm";"kg";"";"";""
"bf45c580-6b74-11eb-9e21-309c234ddeac";"1.1.115";"Decolith (SW)";"galon";"";"";""
"bf45c5c6-6b74-11eb-9e21-309c234ddeac";"1.1.116";"Kawat";"kg";"";"";""
"bf45c60d-6b74-11eb-9e21-309c234ddeac";"1.1.117";"Amplas Kasar";"lembar";"";"";""
"bf45c654-6b74-11eb-9e21-309c234ddeac";"1.1.118";"Pintu Kaca";"buah";"";"";""
"bf45c69b-6b74-11eb-9e21-309c234ddeac";"1.1.119";"paku 10 cm";"kg";"";"";""
"bf45c6e1-6b74-11eb-9e21-309c234ddeac";"1.1.120";"paku 5 cm";"kg";"";"";""
"bf45c728-6b74-11eb-9e21-309c234ddeac";"1.1.121";"envi 813";"kg";"";"";""
"bf45c76e-6b74-11eb-9e21-309c234ddeac";"1.1.122";"benang tukang";"buah";"";"";""
"bf45c7b4-6b74-11eb-9e21-309c234ddeac";"1.1.123";"cetok";"buah";"";"";""
"bf45c7fb-6b74-11eb-9e21-309c234ddeac";"1.1.124";"kompon";"SAK";"";"";""
"bf45c841-6b74-11eb-9e21-309c234ddeac";"1.1.125";"Tiner b";"botol";"";"";""
"bf45c888-6b74-11eb-9e21-309c234ddeac";"1.1.126";"Meteran";"buah";"";"";""
"bf45c8ce-6b74-11eb-9e21-309c234ddeac";"1.1.127";"Tali";"buah";"";"";""
"bf45c915-6b74-11eb-9e21-309c234ddeac";"1.1.128";"Cat Putih";"kaleng";"";"";""
"bf45c95c-6b74-11eb-9e21-309c234ddeac";"1.1.129";"Dop 1/2";"kaleng";"";"";""
"bf45c9a2-6b74-11eb-9e21-309c234ddeac";"1.1.130";"Papan Kayu";"buah";"";"";""
"bf45c9e9-6b74-11eb-9e21-309c234ddeac";"1.1.131";"Begel";"kg";"";"";""
"bf45ca30-6b74-11eb-9e21-309c234ddeac";"1.1.132";"Keni";"buah";"";"";""
"bf45ca76-6b74-11eb-9e21-309c234ddeac";"1.1.133";"Besi Diameter 10 mm";"buah";"";"";""
"bf45cabc-6b74-11eb-9e21-309c234ddeac";"1.1.134";"Ongkos Tukang";"orang/hari";"";"";""
"bf45cb03-6b74-11eb-9e21-309c234ddeac";"1.1.135";"Reng baja ringan 6 m";"buah";"";"";""
"bf45cb6a-6b74-11eb-9e21-309c234ddeac";"1.1.139";"Enternit";"m2";"";"";""
"bf45cbb0-6b74-11eb-9e21-309c234ddeac";"1.1.140";"Besi 8 mili";"biji";"";"";""
"bf45cbf7-6b74-11eb-9e21-309c234ddeac";"1.1.141";"Kaca ";"buah";"";"";""
"bf45cc3d-6b74-11eb-9e21-309c234ddeac";"1.1.142";"Gypsum board";"lembar";"";"";""
"bf45cc83-6b74-11eb-9e21-309c234ddeac";"1.1.143";"Keni 1";"buah";"";"";""
"bf45ccca-6b74-11eb-9e21-309c234ddeac";"1.1.144";"List Plang";"lembar";"";"";""
"bf45cd10-6b74-11eb-9e21-309c234ddeac";"1.1.145";"Cutting";"dus";"";"";""
"bf45cd57-6b74-11eb-9e21-309c234ddeac";"1.1.146";"Cat Kayu/Besi";"kaleng";"";"";""
"bf45cd9d-6b74-11eb-9e21-309c234ddeac";"1.1.147";"Paku GRC";"dus";"";"";""
"bf45cde4-6b74-11eb-9e21-309c234ddeac";"1.1.148";"Jendela Kaca Alumunium";"dus";"";"";""
"bf45ce2a-6b74-11eb-9e21-309c234ddeac";"1.1.149";"Paku Beton";"dus";"";"";""
"bf45ce70-6b74-11eb-9e21-309c234ddeac";"1.1.150";"Sifon Stainless Cab ";"buah";"";"";""
"bf45ceb6-6b74-11eb-9e21-309c234ddeac";"1.1.151";"kuas tika 4 Inc";"buah";"";"";""
"bf45cefd-6b74-11eb-9e21-309c234ddeac";"1.1.152";"Kuas Tika 2 Inc";"buah";"";"";""
"bf45cf43-6b74-11eb-9e21-309c234ddeac";"1.1.153";"Baut Fab 6x1 ";"buah";"";"";""
"bf45cf89-6b74-11eb-9e21-309c234ddeac";"1.1.154";"Knee 1/2 ";"buah";"";"";""
"bf45cfd0-6b74-11eb-9e21-309c234ddeac";"1.1.155";"Roll Meter";"buah";"";"";""
"bf45d017-6b74-11eb-9e21-309c234ddeac";"1.1.156";"Amplas";"lembar";"";"";""
"bf45d05d-6b74-11eb-9e21-309c234ddeac";"1.1.157";"Cat Minyak";"buah";"";"";""
"bf45d0a3-6b74-11eb-9e21-309c234ddeac";"1.1.158";"Kayu Sengon 4/6 2 M";"buah";"";"";""
"bf45d0e9-6b74-11eb-9e21-309c234ddeac";"1.1.159";"Benang Kenur";"buah";"";"";""
"bf45d130-6b74-11eb-9e21-309c234ddeac";"1.1.160";"Pembersih Lapangan";"buah";"";"";""
"bf45d177-6b74-11eb-9e21-309c234ddeac";"1.1.161";"Mata Bor";"biji";"";"";""
"bf45d1bd-6b74-11eb-9e21-309c234ddeac";"1.1.162";"Tang Potong";"buah";"";"";""
"bf45d203-6b74-11eb-9e21-309c234ddeac";"1.1.163";"baut";"buah";"";"";""
"bf45d249-6b74-11eb-9e21-309c234ddeac";"1.1.164";"paralon";"buah";"";"";""
"bf45d28f-6b74-11eb-9e21-309c234ddeac";"1.1.165";"talang karpet";"meter";"";"";""
"bf45d2d5-6b74-11eb-9e21-309c234ddeac";"1.1.166";"Dop 3/4";"buah";"";"";""
"bf45d31b-6b74-11eb-9e21-309c234ddeac";"1.1.167";"Sokdrat ";"buah";"";"";""
"bf45d362-6b74-11eb-9e21-309c234ddeac";"1.1.168";"kran ";"buah";"";"";""
"bf45d3ab-6b74-11eb-9e21-309c234ddeac";"1.1.169";"List Gipsun";"meter";"";"";""
"bf45d3f6-6b74-11eb-9e21-309c234ddeac";"1.1.170";"Envi";"kg";"";"";""
"bf45d43d-6b74-11eb-9e21-309c234ddeac";"1.1.171";"List Neker";"buah";"";"";""
"bf45d483-6b74-11eb-9e21-309c234ddeac";"1.1.172";"Tarikan Biasa";"buah";"";"";""
"bf45d4c9-6b74-11eb-9e21-309c234ddeac";"1.1.173";"Tempat Sabun ";"buah";"";"";""
"bf45d629-6b74-11eb-9e21-309c234ddeac";"1.1.174";"Fiber";"lembar";"";"";""
"bf45d680-6b74-11eb-9e21-309c234ddeac";"1.1.175";"Kran Wastafel";"buah";"";"";""
"bf45d742-6b74-11eb-9e21-309c234ddeac";"1.1.176";"Hanger";"buah";"";"";""
"bf45d78a-6b74-11eb-9e21-309c234ddeac";"1.1.177";"Gardena";"gulung";"";"";""
"bf45d7d1-6b74-11eb-9e21-309c234ddeac";"1.1.178";"Serat Fiber";"lembar";"";"";""
"bf45d817-6b74-11eb-9e21-309c234ddeac";"1.1.179";"Besi beton";"kg";"";"";""
"bf45d85e-6b74-11eb-9e21-309c234ddeac";"1.1.180";"Keramik kuku macan";"buah";"";"";""
"bf45d8a5-6b74-11eb-9e21-309c234ddeac";"1.1.181";"Cat Dasar";"kg";"";"";""
"bf45d8ec-6b74-11eb-9e21-309c234ddeac";"1.1.182";"Cat Penutup";"kg";"";"";""
"bf45d932-6b74-11eb-9e21-309c234ddeac";"1.1.183";"Kuas 4 inch";"buah";"";"";""
"bf45d979-6b74-11eb-9e21-309c234ddeac";"1.1.184";"holo 3,8x3,8 ";"buah";"";"";""
"bf45d9bf-6b74-11eb-9e21-309c234ddeac";"1.1.185";"MELAMIN TRIPLEK";"buah";"";"";""
"bf45da05-6b74-11eb-9e21-309c234ddeac";"1.1.186";"Cat";"buah";"";"";""
"bf45da4c-6b74-11eb-9e21-309c234ddeac";"1.1.187";"Kanvas";"buah";"";"";""
"bf45da93-6b74-11eb-9e21-309c234ddeac";"1.1.188";"Cat Lukis";"buah";"";"";""
"bf45dad9-6b74-11eb-9e21-309c234ddeac";"1.1.189";"Slot";"buah";"";"";""
"bf45db20-6b74-11eb-9e21-309c234ddeac";"1.1.190";"Alat kebersihan Selang air  3/4 inci";"buah";"";"";""
"4c75536b-71b5-11eb-956f-d306a425ce97";"1.1.191";"Pipa Diameter 3""";"m";"";"";""
"4c79e24a-71b5-11eb-956f-d306a425ce97";"1.1.192";"Pipa Galvanis 2 """;"m";"";"";""
"4c7d4e11-71b5-11eb-956f-d306a425ce97";"1.1.193";"Pipa 2""";"m";"";"";""
"3e42e79d-9cca-11eb-956f-d306a425ce97";"1.1.194";"Upah Tenaga";"paket";"";"";""
"861a55cb-9da1-11eb-956f-d306a425ce97";"1.1.195";"Pemeliharaan Gedung";"paket";"";"";""
"f9a209c8-a0c3-11eb-956f-d306a425ce97";"1.1.196";"Kuas 3 Inc";"buah";"";"";""
"8edf4023-aedf-11eb-956f-d306a425ce97";"1.1.197";"Kunci Laci";"buah";"";"";""
"3b595075-b146-11eb-956f-d306a425ce97";"1.1.198";"Belanja Bahan Bangunan Kegiatan Penyediaan Prasarana, Saran dan Utilitas Umum di Perumahan untuk Menunjang Fungsi Perumahan";"paket";"";"";""
"66b0e64d-b146-11eb-956f-d306a425ce97";"1.1.199";"Belanja BahanBakar Minyak Kegiatan Penyediaan Prasarana ,Sarana, dan Utilitas Umum di Perumahan untuk Menunjang Fungsi Hunian";"paket";"";"";""
"dd401000-c4ea-11eb-956f-d306a425ce97";"1.1.200";"Genteng ex Mojolaban/Mantili";"buah";"";"";""
"ecbbbb4d-c4ea-11eb-956f-d306a425ce97";"1.1.201";"Paku Reng";"kg";"";"";""
"f808be84-c4ea-11eb-956f-d306a425ce97";"1.1.202";"Kayu Kalimantan Reng";"batang";"";"";""
"fc97c0d5-c4ea-11eb-956f-d306a425ce97";"1.1.203";"Kayu Kalimantan Usuk";"batang";"";"";""
"568641b7-c8f3-11eb-956f-d306a425ce97";"1.1.204";"Tagihan Pembayaran MC I (100%) Kegiatan Belanja Bahan-bahan Bangunan dan Konstruksi";"paket";"";"";""
"b105d4b7-c9bb-11eb-956f-d306a425ce97";"1.1.205";"Karpet Bagus";"meter";"";"";""
"d926b651-cd8d-11eb-956f-d306a425ce97";"1.1.206";"Pertalite";"liter";"";"";""
"f82eeeed-cd8d-11eb-956f-d306a425ce97";"1.1.207";"Solar";"liter";"";"";""
"15e3f9c7-cd8e-11eb-956f-d306a425ce97";"1.1.208";"Bahan Bakar Minyak ";"liter";"";"";""
"aba4493e-cd98-11eb-956f-d306a425ce97";"1.1.209";"Pertamax";"liter";"";"";""
"6d7b860f-cd9a-11eb-956f-d306a425ce97";"1.1.210";"Sekop Tangkai Kayu";"buah";"";"";""
"777c2061-cd9a-11eb-956f-d306a425ce97";"1.1.211";"Cangkul";"buah";"";"";""
"e734fb45-d7b6-11eb-956f-d306a425ce97";"1.1.212";"Baut Rofing";"biji";"";"";""
"f8eaf097-d7b6-11eb-956f-d306a425ce97";"1.1.213";"engsel";"buah";"";"";""
"060b6265-d7b7-11eb-956f-d306a425ce97";"1.1.214";"Galvalum 4,5 m x 0,30 mm";"lembar";"";"";""
"0d1dc2a6-d7b7-11eb-956f-d306a425ce97";"1.1.215";"Galvalum 5m x 0,30 mm";"lembar";"";"";""
"1c8d5d53-d7b7-11eb-956f-d306a425ce97";"1.1.216";"HGS 15 X 30 ";"batang";"";"";""
"2741e0f8-d7b7-11eb-956f-d306a425ce97";"1.1.217";"HGS 2X2";"batang";"";"";""
"2ce2a047-d7b7-11eb-956f-d306a425ce97";"1.1.218";"HGS 30X30";"batang";"";"";""
"3120d981-d7b7-11eb-956f-d306a425ce97";"1.1.219";"HGS  30 X 60X 0,9";"batang";"";"";""
"34861016-d7b7-11eb-956f-d306a425ce97";"1.1.220";"HGS 30X60X1";"batang";"";"";""
"38b5adc2-d7b7-11eb-956f-d306a425ce97";"1.1.221";"HGS 3X3 ";"batang";"";"";""
"3c431a37-d7b7-11eb-956f-d306a425ce97";"1.1.222";"HGS 4X4";"batang";"";"";""
"3f6ee9ba-d7b7-11eb-956f-d306a425ce97";"1.1.223";"HGS 4X6";"batang";"";"";""
"4309e65f-d7b7-11eb-956f-d306a425ce97";"1.1.224";"LASTOK";"batang";"";"";""
"4c0219fb-d7b7-11eb-956f-d306a425ce97";"1.1.225";"MATA GERINDA";"buah";"";"";""
"4f64c420-d7b7-11eb-956f-d306a425ce97";"1.1.226";"NILON";"buah";"";"";""
"538c0695-d7b7-11eb-956f-d306a425ce97";"1.1.227";"PISHER";"buah";"";"";""
"56bc8652-d7b7-11eb-956f-d306a425ce97";"1.1.228";"RODA";"buah";"";"";""
"59279775-d7b7-11eb-956f-d306a425ce97";"1.1.229";"RODA KANCING";"buah";"";"";""
"5ec26e94-d7b7-11eb-956f-d306a425ce97";"1.1.230";"Roda super";"buah";"";"";""
"65a9756e-d7b7-11eb-956f-d306a425ce97";"1.1.231";"siku 3x3";"buah";"";"";""
"68cb5138-d7b7-11eb-956f-d306a425ce97";"1.1.232";"spon merah";"buah";"";"";""
"7201ff4f-d7b7-11eb-956f-d306a425ce97";"1.1.233";"stall ss 3x3";"batang";"";"";""
"7c0917a5-d7b7-11eb-956f-d306a425ce97";"1.1.234";"talang";"meter";"";"";""
"84b021c4-d7b7-11eb-956f-d306a425ce97";"1.1.235";"cat avian";"kaleng";"";"";""
"8831f7e2-d7b7-11eb-956f-d306a425ce97";"1.1.236";"cat no drop";"kaleng";"";"";""
"8ee5292d-d7b7-11eb-956f-d306a425ce97";"1.1.237";"keramik 40 x40 hijau";"dus";"";"";""
"944fd9a7-d7b7-11eb-956f-d306a425ce97";"1.1.238";"keramik 40x 40";"dus";"";"";""
"9ba07ba0-d7b7-11eb-956f-d306a425ce97";"1.1.239";"klem 1""";"pak";"";"";""
"9fb2eda6-d7b7-11eb-956f-d306a425ce97";"1.1.240";"klem 1/2""";"pak";"";"";""
